"date","mjd","trans"
2016-02-08,57426,NA
2016-02-09,57427,NA
2016-02-10,57428,NA
2016-02-11,57429,0.694438356339362
2016-02-12,57430,NA
2016-02-13,57431,NA
2016-02-14,57432,NA
2016-02-15,57433,NA
2016-02-16,57434,NA
2016-02-17,57435,0.739630934506598
2016-02-18,57436,0.734618814861132
2016-02-19,57437,NA
2016-02-20,57438,NA
2016-02-21,57439,NA
2016-02-22,57440,NA
2016-02-23,57441,NA
2016-02-24,57442,NA
2016-02-25,57443,NA
2016-02-26,57444,NA
2016-02-27,57445,NA
2016-02-28,57446,NA
2016-02-29,57447,NA
2016-03-01,57448,NA
2016-03-02,57449,NA
2016-03-03,57450,NA
2016-03-04,57451,NA
2016-03-05,57452,NA
2016-03-06,57453,NA
2016-03-07,57454,0.728982266649338
2016-03-08,57455,0.731096175921159
2016-03-09,57456,0.725940786762662
2016-03-10,57457,0.73861374936562
2016-03-11,57458,0.747670447963236
2016-03-12,57459,NA
2016-03-13,57460,NA
2016-03-14,57461,0.737172928486033
2016-03-15,57462,0.730247379831713
2016-03-16,57463,0.729009098532515
2016-03-17,57464,NA
2016-03-18,57465,0.722238341794751
2016-03-19,57466,0.723994889289275
2016-03-20,57467,NA
2016-03-21,57468,NA
2016-03-22,57469,NA
2016-03-23,57470,NA
2016-03-24,57471,NA
2016-03-25,57472,NA
2016-03-26,57473,NA
2016-03-27,57474,0.731094194581503
2016-03-28,57475,0.725173249060652
2016-03-29,57476,0.722078844007938
2016-03-30,57477,0.727315048966879
2016-03-31,57478,NA
2016-04-01,57479,NA
2016-04-02,57480,0.606453300927396
2016-04-03,57481,0.564974806975034
2016-04-04,57482,0.717477406273981
2016-04-05,57483,NA
2016-04-06,57484,0.706368813117407
2016-04-07,57485,0.723000336653753
2016-04-08,57486,NA
2016-04-09,57487,0.727170258244799
2016-04-10,57488,0.716246800165707
2016-04-11,57489,0.720750227917953
2016-04-12,57490,NA
2016-04-13,57491,0.719435473934113
2016-04-14,57492,NA
2016-04-15,57493,NA
2016-04-16,57494,NA
2016-04-17,57495,NA
2016-04-18,57496,NA
2016-04-19,57497,NA
2016-04-20,57498,NA
2016-04-21,57499,NA
2016-04-22,57500,NA
2016-04-23,57501,NA
2016-04-24,57502,NA
2016-04-25,57503,0.703471365984209
2016-04-26,57504,NA
2016-04-27,57505,0.70515888161452
2016-04-28,57506,NA
2016-04-29,57507,0.693493981099009
2016-04-30,57508,NA
2016-05-01,57509,0.698332740447212
2016-05-02,57510,0.724255146532308
2016-05-03,57511,NA
2016-05-04,57512,0.702112020004739
2016-05-05,57513,0.687390863831076
2016-05-06,57514,0.706860140335169
2016-05-07,57515,0.714443096466674
2016-05-08,57516,NA
2016-05-09,57517,NA
2016-05-10,57518,NA
2016-05-11,57519,NA
2016-05-12,57520,0.700791082786538
2016-05-13,57521,NA
2016-05-14,57522,0.692636074381929
2016-05-15,57523,0.704315121282111
2016-05-16,57524,NA
2016-05-17,57525,NA
2016-05-18,57526,0.693106918341126
2016-05-19,57527,0.693214669853329
2016-05-20,57528,0.683055328938807
